Case_ID;Dataset_ID;Initial_Temp;Cooling_Rate;Total_Evals;Expected_Final_Temp;Final_Temp;Evaluator;Fitness;Alpha;CV_Folds;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Wall_Time_Avg(s);SA_CPU_Time_Avg(s);SA_NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
52;52;1;0.999;10000;4.522e-05;4.522e-05;knn;error;0.5;5;91.5;80.3;88.73;3.51;176.225;168.161;10000.0;91.55;7;9.6
53;52;1;0.9995;10000;0.00673289;0.00673289;svm;error;0.5;5;97.2;90.1;94.65;3.31;267.408;255.3;10000.0;90.14;17;16.0
53;52;1;0.9995;10000;0.00673289;0.00673289;knn;error;0.5;5;93.0;84.5;88.73;2.2;176.076;168.055;10000.0;87.32;12;11.1
54;52;1;0.9999;10000;0.36789784;0.36789784;svm;error;0.5;5;98.6;90.1;94.51;3.08;270.424;256.645;10000.0;90.14;17;16.9
54;52;1;0.9999;10000;0.36789784;0.36789784;knn;error;0.5;5;91.5;81.7;86.34;3.82;176.382;167.559;10000.0;83.1;11;13.3
43;151;0.001;0.999;10000;5e-08;5e-08;svm;error;0.5;5;88.1;76.2;81.43;3.86;273.492;259.472;10000.0;80.95;28;28.3
43;151;0.001;0.999;10000;5e-08;5e-08;knn;error;0.5;5;85.7;71.4;79.29;5.39;184.399;174.772;10000.0;71.43;29;31.0
44;151;0.001;0.9995;10000;6.73e-06;6.73e-06;svm;error;0.5;5;88.1;76.2;81.43;3.86;271.753;257.703;10000.0;80.95;28;27.5
44;151;0.001;0.9995;10000;6.73e-06;6.73e-06;knn;error;0.5;5;85.7;71.4;79.29;5.39;183.859;174.678;10000.0;71.43;29;30.8
45;151;0.001;0.9999;10000;0.0003679;0.0003679;svm;error;0.5;5;88.1;76.2;82.38;3.4;271.433;258.453;10000.0;80.95;28;28.3
45;151;0.001;0.9999;10000;0.0003679;0.0003679;knn;error;0.5;5;88.1;71.4;80.24;6.05;182.791;174.261;10000.0;71.43;29;30.6
46;151;0.01;0.999;10000;4.5e-07;4.5e-07;svm;error;0.5;5;92.9;76.2;84.29;5.85;271.249;258.178;10000.0;78.57;24;27.5
46;151;0.01;0.999;10000;4.5e-07;4.5e-07;knn;error;0.5;5;88.1;69.0;83.1;6.19;178.352;169.722;10000.0;85.71;27;27.0
47;151;0.01;0.9995;10000;6.733e-05;6.733e-05;svm;error;0.5;5;88.1;73.8;81.43;4.46;271.601;258.755;10000.0;78.57;27;26.2
47;151;0.01;0.9995;10000;6.733e-05;6.733e-05;knn;error;0.5;5;95.2;71.4;80.71;6.78;178.989;170.8;10000.0;80.95;29;28.3
48;151;0.01;0.9999;10000;0.00367898;0.00367898;svm;error;0.5;5;92.9;78.6;84.52;4.09;276.769;263.736;10000.0;83.33;32;27.6
48;151;0.01;0.9999;10000;0.00367898;0.00367898;knn;error;0.5;5;88.1;73.8;79.52;4.38;180.463;171.881;10000.0;83.33;27;27.1
49;151;0.1;0.999;10000;4.52e-06;4.52e-06;svm;error;0.5;5;92.9;69.0;81.43;6.53;273.746;260.556;10000.0;80.95;24;27.5
49;151;0.1;0.999;10000;4.52e-06;4.52e-06;knn;error;0.5;5;92.9;76.2;81.43;5.59;179.899;171.32;10000.0;85.71;23;26.2
50;151;0.1;0.9995;10000;0.00067329;0.00067329;svm;error;0.5;5;90.5;73.8;83.33;5.14;274.734;261.694;10000.0;78.57;28;24.3
50;151;0.1;0.9995;10000;0.00067329;0.00067329;knn;error;0.5;5;90.5;71.4;81.9;5.85;181.831;173.239;10000.0;80.95;26;26.9
51;151;0.1;0.9999;10000;0.03678978;0.03678978;svm;error;0.5;5;92.9;73.8;81.9;5.96;278.47;265.736;10000.0;73.81;30;28.5
51;151;0.1;0.9999;10000;0.03678978;0.03678978;knn;error;0.5;5;92.9;78.6;83.57;4.69;183.744;174.897;10000.0;80.95;28;29.1
52;151;1;0.999;10000;4.522e-05;4.522e-05;svm;error;0.5;5;92.9;76.2;83.57;4.95;274.213;261.195;10000.0;88.1;25;26.9
52;151;1;0.999;10000;4.522e-05;4.522e-05;knn;error;0.5;5;90.5;78.6;81.43;4.46;182.517;173.556;10000.0;88.1;30;27.5
53;151;1;0.9995;10000;0.00673289;0.00673289;svm;error;0.5;5;88.1;73.8;82.62;3.9;277.809;264.837;10000.0;83.33;37;29.5
53;151;1;0.9995;10000;0.00673289;0.00673289;knn;error;0.5;5;88.1;73.8;81.43;5.59;183.549;174.805;10000.0;88.1;29;27.0
54;151;1;0.9999;10000;0.36789784;0.36789784;svm;error;0.5;5;92.9;73.8;82.86;5.48;278.181;264.986;10000.0;83.33;28;26.6
54;151;1;0.9999;10000;0.36789784;0.36789784;knn;error;0.5;5;85.7;69.0;80.48;4.87;170.722;162.113;10000.0;83.33;23;27.1
